3,blockNumber,slot,relay,Non-compliant transactions,OFAC sanctioned address interacted
4,15540039,4702694,BloXroute Regulated,0xff356ad730ea4f648c98085f710b7589aced803b2815fe5fb5157e7a3a7182f3,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b
5,15563637,4726578,BloXroute Regulated,0xf33fc2cda53285b7f25f170971fdd9844fa82f2b267e352c0a14c453cc1f3765,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936
6,15563637,4726578,BloXroute Regulated,0xf33fc2cda53285b7f25f170971fdd9844fa82f2b267e352c0a14c453cc1f3765,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b
7,15565356,4728314,Eden,0xa6815e1cde7ea7fbf6a6ae76f0b7877d571241b6a3e25e2395607392a076f033,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b
8,15565356,4728314,Eden,0xa6815e1cde7ea7fbf6a6ae76f0b7877d571241b6a3e25e2395607392a076f033,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936
9,15567143,4730115,BloXroute Regulated,0xa1dd4ab4334ef7893874366fd6c284136f28d5905e4a2003cc27c1ff124ed83e,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936
10,15567143,4730115,BloXroute Regulated,0xa1dd4ab4334ef7893874366fd6c284136f28d5905e4a2003cc27c1ff124ed83e,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b
11,15582285,4745479,Blocknative,0x0994d94c91dc0a53388aaddf33f4e1b4f2a474c3c76e5b3dd4c9e6613dcfc8a1,0x58e8dcc13be9780fc42e8723d8ead4cf46943df2
12,15582285,4745479,Blocknative,0x0994d94c91dc0a53388aaddf33f4e1b4f2a474c3c76e5b3dd4c9e6613dcfc8a1,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b
13,15582285,4745479,Blocknative,0x0994d94c91dc0a53388aaddf33f4e1b4f2a474c3c76e5b3dd4c9e6613dcfc8a1,0x0836222f2b2b24a3f36f98668ed8f0b38d1a872f
14,15598511,4761816,Eden,0xccc050a7b64a29f4776d9e76915faaa1205d8d4a603517a97eef2a8c2edc7c42,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b
15,15598511,4761816,Eden,0xccc050a7b64a29f4776d9e76915faaa1205d8d4a603517a97eef2a8c2edc7c42,0x58e8dcc13be9780fc42e8723d8ead4cf46943df2
16,15598511,4761816,Eden,0xccc050a7b64a29f4776d9e76915faaa1205d8d4a603517a97eef2a8c2edc7c42,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936
17,15599069,4762376,Blocknative,0xfd540939fbe9f2f77b63dc84901cce15f4afc3515c46b67502aae34f449034f5,0x58e8dcc13be9780fc42e8723d8ead4cf46943df2
18,15599069,4762376,Blocknative,0xfd540939fbe9f2f77b63dc84901cce15f4afc3515c46b67502aae34f449034f5,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b
19,15599069,4762376,Blocknative,0xfd540939fbe9f2f77b63dc84901cce15f4afc3515c46b67502aae34f449034f5,0x23773e65ed146a459791799d01336db287f25334
20,15600111,4763421,Blocknative,0x35b4a17260535930460658afa435a6b65ebf6f30e0986825903de20cf1b25c8a,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b
21,15600111,4763421,Blocknative,0x35b4a17260535930460658afa435a6b65ebf6f30e0986825903de20cf1b25c8a,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf
22,15600111,4763421,Blocknative,0x35b4a17260535930460658afa435a6b65ebf6f30e0986825903de20cf1b25c8a,0x58e8dcc13be9780fc42e8723d8ead4cf46943df2
23,15602459,4765778,Blocknative,0x5f05166827fbafc12a069b4c7d78e4333f912d6e4194c32d690b9fdeda0139ab,0x58e8dcc13be9780fc42e8723d8ead4cf46943df2
24,15602459,4765778,Blocknative,0x5f05166827fbafc12a069b4c7d78e4333f912d6e4194c32d690b9fdeda0139ab,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b
25,15602459,4765778,Blocknative,0x5f05166827fbafc12a069b4c7d78e4333f912d6e4194c32d690b9fdeda0139ab,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf
26,15604059,4767383,Blocknative,0xf3a6186b4369abf4be0b23d7134a17500b25245db5d9a6696fc71702c5c8e5a7,0x58e8dcc13be9780fc42e8723d8ead4cf46943df2
27,15604059,4767383,Blocknative,0xf3a6186b4369abf4be0b23d7134a17500b25245db5d9a6696fc71702c5c8e5a7,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936
